action;sentence
besluiten;" $ Lid1 :  $  Indien tegen een of meer van de besluiten beroep kan worden ingesteld bij de rechtbank, staat tegen alle besluiten beroep open bij de rechtbank binnen het rechtsgebied waarvan het cordinerend bestuursorgaan zijn zetel heeft.  $ Lid2 :  $  Indien tegen alle besluiten beroep kan worden ingesteld bij een andere bestuursrechter dan de rechtbank, staat tegen alle besluiten beroep open bij:  $ Onderdeela :  $  de Afdeling bestuursrechtspraak van de Raad van State, indien tegen een of meer van de besluiten bij de Afdeling beroep kan worden ingesteld;  $ Onderdeelb :  $  het College van Beroep voor het bedrijfsleven, indien tegen een of meer van de besluiten beroep kan worden ingesteld bij het College en onderdeel a niet van toepassing is;  $ Onderdeelc :  $  de Centrale Raad van Beroep, indien tegen een of meer van de besluiten beroep kan worden ingesteld bij de Centrale Raad van Beroep en de onderdelen a en b niet van toepassing zijn.  $ Lid3 :  $  Indien tegen de uitspraak van de rechtbank inzake een of meer besluiten hoger beroep kan worden ingesteld bij:  $ Onderdeela :  $  de Afdeling bestuursrechtspraak van de Raad van State, staat inzake alle besluiten hoger beroep open bij de Afdeling;  $ Onderdeelb :  $  het College van Beroep voor het bedrijfsleven en onderdeel a niet van toepassing is, staat inzake alle besluiten hoger beroep open bij het College;  $ Onderdeelc :  $  de Centrale Raad van Beroep en de onderdelen a en b niet van toepassing zijn, staat inzake alle besluiten hoger beroep open bij de Centrale Raad van Beroep.  $ Lid4 :  $  De ingevolge het eerste lid bevoegde rechtbank of de ingevolge het tweede of derde lid bevoegde bestuursrechter kan de behandeling van de beroepen in eerste aanleg dan wel de hoger beroepen verwijzen naar een andere rechtbank onderscheidenlijk een andere bestuursrechter die voor de behandeling ervan meer geschikt wordt geacht. , is van overeenkomstige toepassing.Artikel 8:13, tweede en derde lid De ingevolge het eerste lid bevoegde rechtbank of de ingevolge het tweede of derde lid bevoegde bestuursrechter kan de behandeling van de beroepen in eerste aanleg dan wel de hoger beroepen verwijzen naar een andere rechtbank onderscheidenlijk een andere bestuursrechter die voor de behandeling ervan meer geschikt wordt geacht. , is van overeenkomstige toepassing."
beroepen;" $ Lid1 :  $  Indien tegen een of meer van de besluiten beroep kan worden ingesteld bij de rechtbank, staat tegen alle besluiten beroep open bij de rechtbank binnen het rechtsgebied waarvan het cordinerend bestuursorgaan zijn zetel heeft.  $ Lid2 :  $  Indien tegen alle besluiten beroep kan worden ingesteld bij een andere bestuursrechter dan de rechtbank, staat tegen alle besluiten beroep open bij:  $ Onderdeela :  $  de Afdeling bestuursrechtspraak van de Raad van State, indien tegen een of meer van de besluiten bij de Afdeling beroep kan worden ingesteld;  $ Onderdeelb :  $  het College van Beroep voor het bedrijfsleven, indien tegen een of meer van de besluiten beroep kan worden ingesteld bij het College en onderdeel a niet van toepassing is;  $ Onderdeelc :  $  de Centrale Raad van Beroep, indien tegen een of meer van de besluiten beroep kan worden ingesteld bij de Centrale Raad van Beroep en de onderdelen a en b niet van toepassing zijn.  $ Lid3 :  $  Indien tegen de uitspraak van de rechtbank inzake een of meer besluiten hoger beroep kan worden ingesteld bij:  $ Onderdeela :  $  de Afdeling bestuursrechtspraak van de Raad van State, staat inzake alle besluiten hoger beroep open bij de Afdeling;  $ Onderdeelb :  $  het College van Beroep voor het bedrijfsleven en onderdeel a niet van toepassing is, staat inzake alle besluiten hoger beroep open bij het College;  $ Onderdeelc :  $  de Centrale Raad van Beroep en de onderdelen a en b niet van toepassing zijn, staat inzake alle besluiten hoger beroep open bij de Centrale Raad van Beroep.  $ Lid4 :  $  De ingevolge het eerste lid bevoegde rechtbank of de ingevolge het tweede of derde lid bevoegde bestuursrechter kan de behandeling van de beroepen in eerste aanleg dan wel de hoger beroepen verwijzen naar een andere rechtbank onderscheidenlijk een andere bestuursrechter die voor de behandeling ervan meer geschikt wordt geacht. , is van overeenkomstige toepassing.Artikel 8:13, tweede en derde lid De ingevolge het eerste lid bevoegde rechtbank of de ingevolge het tweede of derde lid bevoegde bestuursrechter kan de behandeling van de beroepen in eerste aanleg dan wel de hoger beroepen verwijzen naar een andere rechtbank onderscheidenlijk een andere bestuursrechter die voor de behandeling ervan meer geschikt wordt geacht. , is van overeenkomstige toepassing."
afgeweken; $ Lid1 :  $  Tegelijkertijd met of zo spoedig mogelijk na de bekendmaking wordt van het besluit mededeling gedaan aan degenen die bij de voorbereiding ervan hun zienswijze naar voren hebben gebracht. Aan een adviseur als bedoeld in  wordt in ieder geval mededeling gedaan indien van het advies wordt afgeweken.artikel 3:5 Tegelijkertijd met of zo spoedig mogelijk na de bekendmaking wordt van het besluit mededeling gedaan aan degenen die bij de voorbereiding ervan hun zienswijze naar voren hebben gebracht. Aan een adviseur als bedoeld in  wordt in ieder geval mededeling gedaan indien van het advies wordt afgeweken.  $ Lid2 :  $  Bij de mededeling van een besluit wordt tevens vermeld wanneer en hoe de bekendmaking ervan heeft plaatsgevonden.
geeft;" $ Lid1 :  $  Indien bij de voorbereiding van het besluit toepassing is gegeven aan , geschiedt de mededeling, bedoeld in :afdeling 3.4 Indien bij de voorbereiding van het besluit toepassing is gegeven aan , geschiedt de mededeling, bedoeld in :  $ Onderdeela :  $  met overeenkomstige toepassing van de  en , met dien verstande dat de stukken ter inzage liggen totdat de beroepstermijn is verstreken, enartikelen 3:11 met overeenkomstige toepassing van de  en , met dien verstande dat de stukken ter inzage liggen totdat de beroepstermijn is verstreken, en  $ Onderdeelb :  $  door toezending van een exemplaar van het besluit aan degenen die over het ontwerp van het besluit zienswijzen naar voren hebben gebracht.  $ Lid2 :  $  In afwijking van het eerste lid, onderdeel b, kan het bestuursorgaan:  $ Onderdeela :  $  indien de omvang van het besluit daartoe aanleiding geeft, volstaan met een ieder van de daar bedoelde personen de strekking van het besluit mee te delen;  $ Onderdeelb :  $  indien een zienswijze door meer dan vijf personen naar voren is gebracht bij hetzelfde geschrift, volstaan met toezending van een exemplaar aan de vijf personen wier namen en adressen als eerste in dat geschrift zijn vermeld;  $ Onderdeelc :  $  indien een zienswijze naar voren is gebracht door meer dan vijf personen bij hetzelfde geschrift en de omvang van het besluit daartoe aanleiding geeft, volstaan met het meedelen aan de vijf personen wier namen en adressen als eerste in dat geschrift zijn vermeld, van de strekking van het besluit;  $ Onderdeeld :  $  indien toezending zou moeten geschieden aan meer dan 250 personen, die toezending achterwege laten."
gemaakt; $ Lid1 :  $  Indien tegen een besluit bezwaar kan worden gemaakt of beroep kan worden ingesteld, wordt daarvan bij de bekendmaking en bij de mededeling van het besluit melding gemaakt.  $ Lid2 :  $  Hierbij wordt vermeld door wie, binnen welke termijn en bij welk orgaan bezwaar kan worden gemaakt of beroep kan worden ingesteld.
ingesteld; $ Lid1 :  $  Indien tegen een besluit bezwaar kan worden gemaakt of beroep kan worden ingesteld, wordt daarvan bij de bekendmaking en bij de mededeling van het besluit melding gemaakt.  $ Lid2 :  $  Hierbij wordt vermeld door wie, binnen welke termijn en bij welk orgaan bezwaar kan worden gemaakt of beroep kan worden ingesteld.
genomen; $ Lid1 :  $  De motivering wordt vermeld bij de bekendmaking van het besluit.  $ Lid2 :  $  Daarbij wordt zo mogelijk vermeld krachtens welk wettelijk voorschrift het besluit wordt genomen.  $ Lid3 :  $  Indien de motivering in verband met de vereiste spoed niet aanstonds bij de bekendmaking van het besluit kan worden vermeld, verstrekt het bestuursorgaan deze binnen een week na de bekendmaking.  $ Lid4 :  $  In dat geval zijn de  van overeenkomstige toepassing.artikelen 3:41 tot en met 3:43 In dat geval zijn de  van overeenkomstige toepassing.
gegeven;Ter motivering van een besluit of een onderdeel daarvan kan worden volstaan met een verwijzing naar een met het oog daarop uitgebracht advies, indien het advies zelf de motivering bevat en van het advies kennis is of wordt gegeven.
neemt;Indien het bestuursorgaan een besluit neemt dat afwijkt van een met het oog daarop krachtens wettelijk voorschrift uitgebracht advies, wordt zulks met de redenen voor de afwijking in de motivering vermeld.
afwijkt;Indien het bestuursorgaan een besluit neemt dat afwijkt van een met het oog daarop krachtens wettelijk voorschrift uitgebracht advies, wordt zulks met de redenen voor de afwijking in de motivering vermeld.
nemen;Voor de toepassing van wettelijke voorschriften over bezwaar en beroep worden met een besluit gelijkgesteld:  $ Onderdeela :  $  de schriftelijke weigering een besluit te nemen, en  $ Onderdeelb :  $  het niet tijdig nemen van een besluit.
maken; $ Lid1 :  $  Het maken van bezwaar geschiedt door het indienen van een bezwaarschrift bij het bestuursorgaan dat het besluit heeft genomen.  $ Lid2 :  $  Het instellen van administratief beroep geschiedt door het indienen van een beroepschrift bij het beroepsorgaan.  $ Lid3 :  $  Het instellen van beroep bij een bestuursrechter geschiedt door het indienen van een beroepschrift bij die rechter.
genomen; $ Lid1 :  $  Het maken van bezwaar geschiedt door het indienen van een bezwaarschrift bij het bestuursorgaan dat het besluit heeft genomen.  $ Lid2 :  $  Het instellen van administratief beroep geschiedt door het indienen van een beroepschrift bij het beroepsorgaan.  $ Lid3 :  $  Het instellen van beroep bij een bestuursrechter geschiedt door het indienen van een beroepschrift bij die rechter.
gesteld;" $ Lid1 :  $  Het bezwaar- of beroepschrift wordt ondertekend en bevat ten minste:  $ Onderdeela :  $  de naam en het adres van de indiener;  $ Onderdeelb :  $  de dagtekening;  $ Onderdeelc :  $  een omschrijving van het besluit waartegen het bezwaar of beroep is gericht;  $ Onderdeeld :  $  de gronden van het bezwaar of beroep.  $ Lid2 :  $  Bij het beroepschrift wordt zo mogelijk een afschrift van het besluit waarop het geschil betrekking heeft, overgelegd.  $ Lid3 :  $  Indien het bezwaar- of beroepschrift in een vreemde taal is gesteld en een vertaling voor een goede behandeling van het bezwaar of beroep noodzakelijk is, dient de indiener zorg te dragen voor een vertaling."
gesteld; $ Onderdeela :  $  niet is voldaan aan  of aan enig ander bij de wet gesteld vereiste voor het in behandeling nemen van het bezwaar of beroep, ofartikel 6:5 niet is voldaan aan  of aan enig ander bij de wet gesteld vereiste voor het in behandeling nemen van het bezwaar of beroep, of  $ Onderdeelb :  $  het bezwaar- of beroepschrift geheel of gedeeltelijk is geweigerd op grond van ,artikel 2:15 het bezwaar- of beroepschrift geheel of gedeeltelijk is geweigerd op grond van ,
nemen; $ Onderdeela :  $  niet is voldaan aan  of aan enig ander bij de wet gesteld vereiste voor het in behandeling nemen van het bezwaar of beroep, ofartikel 6:5 niet is voldaan aan  of aan enig ander bij de wet gesteld vereiste voor het in behandeling nemen van het bezwaar of beroep, of  $ Onderdeelb :  $  het bezwaar- of beroepschrift geheel of gedeeltelijk is geweigerd op grond van ,artikel 2:15 het bezwaar- of beroepschrift geheel of gedeeltelijk is geweigerd op grond van ,
geweigerd; $ Onderdeela :  $  niet is voldaan aan  of aan enig ander bij de wet gesteld vereiste voor het in behandeling nemen van het bezwaar of beroep, ofartikel 6:5 niet is voldaan aan  of aan enig ander bij de wet gesteld vereiste voor het in behandeling nemen van het bezwaar of beroep, of  $ Onderdeelb :  $  het bezwaar- of beroepschrift geheel of gedeeltelijk is geweigerd op grond van ,artikel 2:15 het bezwaar- of beroepschrift geheel of gedeeltelijk is geweigerd op grond van ,
ingesteld; $ Lid1 :  $  De termijn vangt aan met ingang van de dag na die waarop het besluit op de voorgeschreven wijze is bekendgemaakt.  $ Lid2 :  $  De termijn voor het indienen van een bezwaarschrift tegen een besluit waartegen alleen door een of meer bepaalde belanghebbenden administratief beroep kon worden ingesteld, vangt aan met ingang van de dag na die waarop de beroepstermijn ongebruikt is verstreken.  $ Lid3 :  $  De termijn voor het indienen van een beroepschrift tegen een besluit dat aan goedkeuring is onderworpen, vangt aan met ingang van de dag na die waarop het besluit, inhoudende de goedkeuring van dat besluit, op de voorgeschreven wijze is bekendgemaakt.  $ Lid4 :  $  De termijn voor het indienen van een beroepschrift tegen een besluit dat is voorbereid met toepassing van  vangt aan met ingang van de dag na die waarop het besluit overeenkomstig , ter inzage is gelegd.afdeling 3.4 De termijn voor het indienen van een beroepschrift tegen een besluit dat is voorbereid met toepassing van  vangt aan met ingang van de dag na die waarop het besluit overeenkomstig , ter inzage is gelegd.
ingediend; $ Lid1 :  $  Een bezwaar- of beroepschrift is tijdig ingediend indien het voor het einde van de termijn is ontvangen.  $ Lid2 :  $  Bij verzending per post is een bezwaar- of beroepschrift tijdig ingediend indien het voor het einde van de termijn ter post is bezorgd, mits het niet later dan een week na afloop van de termijn is ontvangen.
ontvangen; $ Lid1 :  $  Een bezwaar- of beroepschrift is tijdig ingediend indien het voor het einde van de termijn is ontvangen.  $ Lid2 :  $  Bij verzending per post is een bezwaar- of beroepschrift tijdig ingediend indien het voor het einde van de termijn ter post is bezorgd, mits het niet later dan een week na afloop van de termijn is ontvangen.
ingediend; $ Lid1 :  $  Ten aanzien van een voor het begin van de termijn ingediend bezwaar- of beroepschrift blijft niet-ontvankelijkverklaring op grond daarvan achterwege indien het besluit ten tijde van de indiening:  $ Onderdeela :  $  wel reeds tot stand was gekomen, of  $ Onderdeelb :  $  nog niet tot stand was gekomen, maar de indiener redelijkerwijs kon menen dat dit wel reeds het geval was.  $ Lid2 :  $  De behandeling van het bezwaar of beroep kan worden aangehouden tot het begin van de termijn.
ingediend;Ten aanzien van een na afloop van de termijn ingediend bezwaar- of beroepschrift blijft niet-ontvankelijkverklaring op grond daarvan achterwege indien redelijkerwijs niet kan worden geoordeeld dat de indiener in verzuim is geweest.
nemen; $ Lid1 :  $  Indien het beroep is gericht tegen het niet tijdig nemen van een besluit dan wel het niet tijdig bekendmaken van een van rechtswege verleende beschikking, is het niet aan een termijn gebonden.  $ Lid2 :  $  Het beroepschrift kan worden ingediend zodra:  $ Onderdeela :  $  het bestuursorgaan in gebreke is tijdig een besluit te nemen of een van rechtswege verleende beschikking bekend te maken, en  $ Onderdeelb :  $  twee weken zijn verstreken na de dag waarop belanghebbende het bestuursorgaan schriftelijk heeft medegedeeld dat het in gebreke is.  $ Lid3 :  $  Indien redelijkerwijs niet van de belanghebbende kan worden gevergd dat hij het bestuursorgaan in gebreke stelt, kan het beroepschrift worden ingediend zodra het bestuursorgaan in gebreke is tijdig een besluit te nemen.  $ Lid4 :  $  Het beroep is niet-ontvankelijk indien het beroepschrift onredelijk laat is ingediend.
verleende; $ Lid1 :  $  Indien het beroep is gericht tegen het niet tijdig nemen van een besluit dan wel het niet tijdig bekendmaken van een van rechtswege verleende beschikking, is het niet aan een termijn gebonden.  $ Lid2 :  $  Het beroepschrift kan worden ingediend zodra:  $ Onderdeela :  $  het bestuursorgaan in gebreke is tijdig een besluit te nemen of een van rechtswege verleende beschikking bekend te maken, en  $ Onderdeelb :  $  twee weken zijn verstreken na de dag waarop belanghebbende het bestuursorgaan schriftelijk heeft medegedeeld dat het in gebreke is.  $ Lid3 :  $  Indien redelijkerwijs niet van de belanghebbende kan worden gevergd dat hij het bestuursorgaan in gebreke stelt, kan het beroepschrift worden ingediend zodra het bestuursorgaan in gebreke is tijdig een besluit te nemen.  $ Lid4 :  $  Het beroep is niet-ontvankelijk indien het beroepschrift onredelijk laat is ingediend.
ingediend; $ Lid1 :  $  Indien het beroep is gericht tegen het niet tijdig nemen van een besluit dan wel het niet tijdig bekendmaken van een van rechtswege verleende beschikking, is het niet aan een termijn gebonden.  $ Lid2 :  $  Het beroepschrift kan worden ingediend zodra:  $ Onderdeela :  $  het bestuursorgaan in gebreke is tijdig een besluit te nemen of een van rechtswege verleende beschikking bekend te maken, en  $ Onderdeelb :  $  twee weken zijn verstreken na de dag waarop belanghebbende het bestuursorgaan schriftelijk heeft medegedeeld dat het in gebreke is.  $ Lid3 :  $  Indien redelijkerwijs niet van de belanghebbende kan worden gevergd dat hij het bestuursorgaan in gebreke stelt, kan het beroepschrift worden ingediend zodra het bestuursorgaan in gebreke is tijdig een besluit te nemen.  $ Lid4 :  $  Het beroep is niet-ontvankelijk indien het beroepschrift onredelijk laat is ingediend.
maken; $ Lid1 :  $  Indien het beroep is gericht tegen het niet tijdig nemen van een besluit dan wel het niet tijdig bekendmaken van een van rechtswege verleende beschikking, is het niet aan een termijn gebonden.  $ Lid2 :  $  Het beroepschrift kan worden ingediend zodra:  $ Onderdeela :  $  het bestuursorgaan in gebreke is tijdig een besluit te nemen of een van rechtswege verleende beschikking bekend te maken, en  $ Onderdeelb :  $  twee weken zijn verstreken na de dag waarop belanghebbende het bestuursorgaan schriftelijk heeft medegedeeld dat het in gebreke is.  $ Lid3 :  $  Indien redelijkerwijs niet van de belanghebbende kan worden gevergd dat hij het bestuursorgaan in gebreke stelt, kan het beroepschrift worden ingediend zodra het bestuursorgaan in gebreke is tijdig een besluit te nemen.  $ Lid4 :  $  Het beroep is niet-ontvankelijk indien het beroepschrift onredelijk laat is ingediend.
stelt; $ Lid1 :  $  Indien het beroep is gericht tegen het niet tijdig nemen van een besluit dan wel het niet tijdig bekendmaken van een van rechtswege verleende beschikking, is het niet aan een termijn gebonden.  $ Lid2 :  $  Het beroepschrift kan worden ingediend zodra:  $ Onderdeela :  $  het bestuursorgaan in gebreke is tijdig een besluit te nemen of een van rechtswege verleende beschikking bekend te maken, en  $ Onderdeelb :  $  twee weken zijn verstreken na de dag waarop belanghebbende het bestuursorgaan schriftelijk heeft medegedeeld dat het in gebreke is.  $ Lid3 :  $  Indien redelijkerwijs niet van de belanghebbende kan worden gevergd dat hij het bestuursorgaan in gebreke stelt, kan het beroepschrift worden ingediend zodra het bestuursorgaan in gebreke is tijdig een besluit te nemen.  $ Lid4 :  $  Het beroep is niet-ontvankelijk indien het beroepschrift onredelijk laat is ingediend.
ingesteld;Geen beroep bij de bestuursrechter kan worden ingesteld door een belanghebbende aan wie redelijkerwijs kan worden verweten dat hij geen zienswijzen als bedoeld in  naar voren heeft gebracht, geen bezwaar heeft gemaakt of geen administratief beroep heeft ingesteld.artikel 3:15
gemaakt;Geen beroep bij de bestuursrechter kan worden ingesteld door een belanghebbende aan wie redelijkerwijs kan worden verweten dat hij geen zienswijzen als bedoeld in  naar voren heeft gebracht, geen bezwaar heeft gemaakt of geen administratief beroep heeft ingesteld.artikel 3:15
ingediend; $ Lid1 :  $  Het orgaan waarbij het bezwaar- of beroepschrift is ingediend, bevestigt de ontvangst daarvan schriftelijk.  $ Lid2 :  $  Het orgaan waarbij het beroepschrift is ingediend, geeft daarvan zo spoedig mogelijk kennis aan het bestuursorgaan dat het bestreden besluit heeft genomen.
geeft; $ Lid1 :  $  Het orgaan waarbij het bezwaar- of beroepschrift is ingediend, bevestigt de ontvangst daarvan schriftelijk.  $ Lid2 :  $  Het orgaan waarbij het beroepschrift is ingediend, geeft daarvan zo spoedig mogelijk kennis aan het bestuursorgaan dat het bestreden besluit heeft genomen.
genomen; $ Lid1 :  $  Het orgaan waarbij het bezwaar- of beroepschrift is ingediend, bevestigt de ontvangst daarvan schriftelijk.  $ Lid2 :  $  Het orgaan waarbij het beroepschrift is ingediend, geeft daarvan zo spoedig mogelijk kennis aan het bestuursorgaan dat het bestreden besluit heeft genomen.
ingediend; $ Lid1 :  $  Indien het bezwaar- of beroepschrift wordt ingediend bij een onbevoegd bestuursorgaan of bij een onbevoegde bestuursrechter, wordt het, onder vermelding van de datum van ontvangst, zo spoedig mogelijk doorgezonden aan het bevoegde orgaan, onder gelijktijdige mededeling hiervan aan de afzender.  $ Lid2 :  $  Het eerste lid is van overeenkomstige toepassing indien in plaats van een bezwaarschrift een beroepschrift is ingediend of omgekeerd.  $ Lid3 :  $  Het tijdstip van indiening bij het onbevoegde orgaan is bepalend voor de vraag of het bezwaar- of beroepschrift tijdig is ingediend, behoudens in geval van kennelijk onredelijk gebruik van procesrecht.
bepalend; $ Lid1 :  $  Indien het bezwaar- of beroepschrift wordt ingediend bij een onbevoegd bestuursorgaan of bij een onbevoegde bestuursrechter, wordt het, onder vermelding van de datum van ontvangst, zo spoedig mogelijk doorgezonden aan het bevoegde orgaan, onder gelijktijdige mededeling hiervan aan de afzender.  $ Lid2 :  $  Het eerste lid is van overeenkomstige toepassing indien in plaats van een bezwaarschrift een beroepschrift is ingediend of omgekeerd.  $ Lid3 :  $  Het tijdstip van indiening bij het onbevoegde orgaan is bepalend voor de vraag of het bezwaar- of beroepschrift tijdig is ingediend, behoudens in geval van kennelijk onredelijk gebruik van procesrecht.
stelt;Indien iemand zich laat vertegenwoordigen, stelt het orgaan dat bevoegd is op het bezwaar of beroep te beslissen, de op de zaak betrekking hebbende stukken in ieder geval ter beschikking aan de gemachtigde.
gemaakt; $ Lid1 :  $  Het bezwaar of beroep heeft van rechtswege mede betrekking op een besluit tot intrekking, wijziging of vervanging van het bestreden besluit, tenzij partijen daarbij onvoldoende belang hebben.  $ Lid2 :  $  Het eerste lid geldt ook indien het bezwaar is gemaakt of het beroep is ingesteld nadat het bestuursorgaan het bestreden besluit heeft ingetrokken, gewijzigd of vervangen.  $ Lid3 :  $  Het bestuursorgaan stelt het nieuwe besluit onverwijld ter beschikking aan het orgaan waarbij het beroep aanhangig is.  $ Lid4 :  $  Indien een ander orgaan een bezwaar- of beroepschrift tegen het nieuwe besluit ontvangt, zendt het dit met toepassing van , door.artikel 6:15, eerste en tweede lid Indien een ander orgaan een bezwaar- of beroepschrift tegen het nieuwe besluit ontvangt, zendt het dit met toepassing van , door.  $ Lid5 :  $  De bestuursrechter kan het beroep tegen het nieuwe besluit echter verwijzen naar een ander orgaan, indien behandeling door dit orgaan gewenst is.  $ Lid6 :  $  Intrekking of vervanging van het bestreden besluit staat niet in de weg aan vernietiging van dat besluit indien de indiener van het bezwaar- of beroepschrift daarbij belang heeft.
ingesteld; $ Lid1 :  $  Het bezwaar of beroep heeft van rechtswege mede betrekking op een besluit tot intrekking, wijziging of vervanging van het bestreden besluit, tenzij partijen daarbij onvoldoende belang hebben.  $ Lid2 :  $  Het eerste lid geldt ook indien het bezwaar is gemaakt of het beroep is ingesteld nadat het bestuursorgaan het bestreden besluit heeft ingetrokken, gewijzigd of vervangen.  $ Lid3 :  $  Het bestuursorgaan stelt het nieuwe besluit onverwijld ter beschikking aan het orgaan waarbij het beroep aanhangig is.  $ Lid4 :  $  Indien een ander orgaan een bezwaar- of beroepschrift tegen het nieuwe besluit ontvangt, zendt het dit met toepassing van , door.artikel 6:15, eerste en tweede lid Indien een ander orgaan een bezwaar- of beroepschrift tegen het nieuwe besluit ontvangt, zendt het dit met toepassing van , door.  $ Lid5 :  $  De bestuursrechter kan het beroep tegen het nieuwe besluit echter verwijzen naar een ander orgaan, indien behandeling door dit orgaan gewenst is.  $ Lid6 :  $  Intrekking of vervanging van het bestreden besluit staat niet in de weg aan vernietiging van dat besluit indien de indiener van het bezwaar- of beroepschrift daarbij belang heeft.
ingetrokken; $ Lid1 :  $  Het bezwaar of beroep heeft van rechtswege mede betrekking op een besluit tot intrekking, wijziging of vervanging van het bestreden besluit, tenzij partijen daarbij onvoldoende belang hebben.  $ Lid2 :  $  Het eerste lid geldt ook indien het bezwaar is gemaakt of het beroep is ingesteld nadat het bestuursorgaan het bestreden besluit heeft ingetrokken, gewijzigd of vervangen.  $ Lid3 :  $  Het bestuursorgaan stelt het nieuwe besluit onverwijld ter beschikking aan het orgaan waarbij het beroep aanhangig is.  $ Lid4 :  $  Indien een ander orgaan een bezwaar- of beroepschrift tegen het nieuwe besluit ontvangt, zendt het dit met toepassing van , door.artikel 6:15, eerste en tweede lid Indien een ander orgaan een bezwaar- of beroepschrift tegen het nieuwe besluit ontvangt, zendt het dit met toepassing van , door.  $ Lid5 :  $  De bestuursrechter kan het beroep tegen het nieuwe besluit echter verwijzen naar een ander orgaan, indien behandeling door dit orgaan gewenst is.  $ Lid6 :  $  Intrekking of vervanging van het bestreden besluit staat niet in de weg aan vernietiging van dat besluit indien de indiener van het bezwaar- of beroepschrift daarbij belang heeft.
gewijzigd; $ Lid1 :  $  Het bezwaar of beroep heeft van rechtswege mede betrekking op een besluit tot intrekking, wijziging of vervanging van het bestreden besluit, tenzij partijen daarbij onvoldoende belang hebben.  $ Lid2 :  $  Het eerste lid geldt ook indien het bezwaar is gemaakt of het beroep is ingesteld nadat het bestuursorgaan het bestreden besluit heeft ingetrokken, gewijzigd of vervangen.  $ Lid3 :  $  Het bestuursorgaan stelt het nieuwe besluit onverwijld ter beschikking aan het orgaan waarbij het beroep aanhangig is.  $ Lid4 :  $  Indien een ander orgaan een bezwaar- of beroepschrift tegen het nieuwe besluit ontvangt, zendt het dit met toepassing van , door.artikel 6:15, eerste en tweede lid Indien een ander orgaan een bezwaar- of beroepschrift tegen het nieuwe besluit ontvangt, zendt het dit met toepassing van , door.  $ Lid5 :  $  De bestuursrechter kan het beroep tegen het nieuwe besluit echter verwijzen naar een ander orgaan, indien behandeling door dit orgaan gewenst is.  $ Lid6 :  $  Intrekking of vervanging van het bestreden besluit staat niet in de weg aan vernietiging van dat besluit indien de indiener van het bezwaar- of beroepschrift daarbij belang heeft.
stelt; $ Lid1 :  $  Het bezwaar of beroep heeft van rechtswege mede betrekking op een besluit tot intrekking, wijziging of vervanging van het bestreden besluit, tenzij partijen daarbij onvoldoende belang hebben.  $ Lid2 :  $  Het eerste lid geldt ook indien het bezwaar is gemaakt of het beroep is ingesteld nadat het bestuursorgaan het bestreden besluit heeft ingetrokken, gewijzigd of vervangen.  $ Lid3 :  $  Het bestuursorgaan stelt het nieuwe besluit onverwijld ter beschikking aan het orgaan waarbij het beroep aanhangig is.  $ Lid4 :  $  Indien een ander orgaan een bezwaar- of beroepschrift tegen het nieuwe besluit ontvangt, zendt het dit met toepassing van , door.artikel 6:15, eerste en tweede lid Indien een ander orgaan een bezwaar- of beroepschrift tegen het nieuwe besluit ontvangt, zendt het dit met toepassing van , door.  $ Lid5 :  $  De bestuursrechter kan het beroep tegen het nieuwe besluit echter verwijzen naar een ander orgaan, indien behandeling door dit orgaan gewenst is.  $ Lid6 :  $  Intrekking of vervanging van het bestreden besluit staat niet in de weg aan vernietiging van dat besluit indien de indiener van het bezwaar- of beroepschrift daarbij belang heeft.
ontvangt; $ Lid1 :  $  Het bezwaar of beroep heeft van rechtswege mede betrekking op een besluit tot intrekking, wijziging of vervanging van het bestreden besluit, tenzij partijen daarbij onvoldoende belang hebben.  $ Lid2 :  $  Het eerste lid geldt ook indien het bezwaar is gemaakt of het beroep is ingesteld nadat het bestuursorgaan het bestreden besluit heeft ingetrokken, gewijzigd of vervangen.  $ Lid3 :  $  Het bestuursorgaan stelt het nieuwe besluit onverwijld ter beschikking aan het orgaan waarbij het beroep aanhangig is.  $ Lid4 :  $  Indien een ander orgaan een bezwaar- of beroepschrift tegen het nieuwe besluit ontvangt, zendt het dit met toepassing van , door.artikel 6:15, eerste en tweede lid Indien een ander orgaan een bezwaar- of beroepschrift tegen het nieuwe besluit ontvangt, zendt het dit met toepassing van , door.  $ Lid5 :  $  De bestuursrechter kan het beroep tegen het nieuwe besluit echter verwijzen naar een ander orgaan, indien behandeling door dit orgaan gewenst is.  $ Lid6 :  $  Intrekking of vervanging van het bestreden besluit staat niet in de weg aan vernietiging van dat besluit indien de indiener van het bezwaar- of beroepschrift daarbij belang heeft.
